"","R_basic","intervention_efficacy","Location","n_intros"
"452",0.189948374871165,0.833174117607996,"Marburg",20
"453",1.21657759370282,0.640430368017405,"Marburg",20
"454",0.396143458317965,0.387953890487552,"Marburg",20
"455",0.214810759294778,0.119055356131867,"Marburg",20
"456",0.272576081799343,0.637532858643681,"Marburg",20
"457",0.473936738446355,0.790425497572869,"Marburg",20
"458",0.795110179111362,0.534288026858121,"Marburg",20
"459",0.467278522672132,0.458872021175921,"Marburg",20
"460",0.192912602098659,0.0319405545014888,"Marburg",20
"461",0.780907566659153,0.555748391430825,"Marburg",20
"462",0.543492187745869,0.870594556443393,"Marburg",20
"463",0.443196278298274,0.205413186689839,"Marburg",20
"464",1.16305478755385,0.482352352002636,"Marburg",20
"465",0.135951577685773,0.323462307918817,"Marburg",20
"466",0.0481756918597966,0.629366841865703,"Marburg",20
"467",0.782503951108083,0.602197147440165,"Marburg",20
"468",0.391986055998132,0.385278449160978,"Marburg",20
"469",0.631248925812542,0.74727634084411,"Marburg",20
"470",0.381972908042371,0.606137154856697,"Marburg",20
"471",0.4803223349154,0.329455062979832,"Marburg",20
"472",0.31065320642665,0.0944921118207276,"Marburg",20
"473",0.229916231939569,0.290571607183665,"Marburg",20
"474",0.487618324812502,0.23732140683569,"Marburg",20
"475",0.250820805318654,0.0355746049899608,"Marburg",20
"476",0.161733978660777,0.926025822991505,"Marburg",20
"477",0.399999648565426,0.730900199618191,"Marburg",20
"478",1.49244127445854,0.825706945732236,"Marburg",20
"479",0.340090154204518,0.171607592375949,"Marburg",20
"480",1.14847085159272,0.287868396146223,"Marburg",20
"481",0.347014028811827,0.168171624885872,"Marburg",20
"482",0.0977010070346296,0.321204195730388,"Marburg",20
"483",0.598449508426711,0.996269427705556,"Marburg",20
"484",0.466814423678443,0.896769411861897,"Marburg",20
"485",0.286108053289354,0.793144012102857,"Marburg",20
"486",0.145988996140659,0.68650595494546,"Marburg",20
"487",0.0646353552583605,0.745543115772307,"Marburg",20
"488",0.226292304228991,0.291932131862268,"Marburg",20
"489",0.281111240386963,0.334244799800217,"Marburg",20
"490",0.615577457472682,0.93421301827766,"Marburg",20
"491",1.08269466552883,0.951500335009769,"Marburg",20
"492",0.101446997607127,0.424403905170038,"Marburg",20
"493",0.486784245120361,0.10872602276504,"Marburg",20
"494",0.231021927902475,0.350923531223089,"Marburg",20
"495",0.798017497407272,0.29177059349604,"Marburg",20
"496",1.48051135987043,0.961964003741741,"Marburg",20
"497",0.108296256512403,0.592624667333439,"Marburg",20
"498",0.188433624571189,0.555393342627212,"Marburg",20
"499",0.330824959790334,0.668508324073628,"Marburg",20
"500",0.326266999589279,0.688634005375206,"Marburg",20
"501",0.570904535707086,0.843192839063704,"Marburg",20
"502",1.14251237246208,0.805617130361497,"Frankfurt",4
"503",0.54595905309543,0.619149821810424,"Frankfurt",4
"504",0.81560524343513,0.135819763643667,"Frankfurt",4
"505",0.89284309046343,0.372973232995719,"Frankfurt",4
"506",0.883295115781948,0.862870887154713,"Frankfurt",4
"507",1.61045617656782,0.0658668430987746,"Frankfurt",4
"508",2.24387481738813,0.266735937213525,"Frankfurt",4
"509",1.10085413139313,0.920532539254054,"Frankfurt",4
