mu,shape
10.683197,6.8824964
10.058627,5.329256
11.751402,5.8289905
11.96806,7.085533
11.946709,7.141127
10.378937,7.865028
11.487507,7.1439266
11.92173,5.726801
11.2817545,7.251594
9.695166,4.3985763
9.377518,6.4697676
12.372302,7.429045
11.566149,8.535903
10.89667,8.130402
12.830089,4.627765
11.372301,6.928337
10.096455,7.529324
11.75807,3.659948
11.472923,8.044334
10.500787,5.485241
9.821054,4.4840026
9.724298,5.584655
13.558598,4.462682
11.18655,8.404021
11.618416,7.0078807
10.43327,6.4277782
11.881185,3.4439702
11.899969,7.768964
11.807768,8.173086
11.681307,3.4337897
11.999605,7.053787
10.9213295,4.5883775
12.264057,9.919334
11.028873,7.06871
13.558327,7.4408846
11.210751,6.734173
11.1711,3.8686934
10.344856,5.779278
10.705956,5.8182907
12.489723,4.3124213
11.947142,7.225065
10.329266,5.9209123
11.65034,7.972081
12.8182535,6.824161
10.589135,7.4417467
11.935137,5.811165
10.332216,7.57953
11.502819,5.773617
12.768484,3.8814116
11.897955,7.310877
12.253054,6.148959
11.5897045,4.6771083
10.409945,4.038876
11.211392,11.868835
9.778352,7.3228126
12.340143,5.366782
12.327457,8.92592
10.865032,6.5758724
13.138771,9.185357
11.55113,5.458782
11.009049,3.6350317
13.904472,4.703409
10.638688,3.0767572
10.415629,4.4680247
12.00235,8.666718
10.102556,6.566838
11.570007,4.812529
12.534832,5.330493
11.901045,5.784917
10.8410015,7.5131187
10.5041275,4.9658723
11.877418,8.993173
9.1914015,3.8786964
10.5087185,2.9555025
9.79804,5.004901
12.378336,7.842446
11.162468,4.8480067
11.503924,6.1775546
12.47178,7.9618773
10.023333,6.7857623
11.357529,5.7647533
11.830266,10.474185
10.231129,7.8510046
12.092768,6.0516205
11.676401,6.6466
11.032455,6.1682024
11.075915,7.126998
11.451599,4.0917172
11.207079,7.2960453
11.652087,5.2893124
11.306425,5.531561
10.866104,5.576886
11.248507,8.260899
11.934687,6.8008566
11.15453,8.067311
12.458273,8.992699
12.228064,4.1306334
11.45459,8.147663
12.64883,7.484419
10.310411,4.5140634
10.843837,4.067076
11.26772,5.3849483
10.898619,4.7733297
10.525391,7.6685114
12.110399,5.431035
13.068724,6.487066
11.059012,4.034689
10.722481,6.919524
11.7514105,5.4001245
12.192033,4.7333016
10.636657,6.245049
11.511293,9.186984
9.773645,6.1261334
12.5312605,5.8014116
10.643703,5.3127737
11.555309,4.218286
11.834179,4.174813
9.690408,8.374317
9.610541,6.7256813
11.600189,5.0721426
13.555811,5.7900524
11.556747,6.0141087
13.554212,4.785792
10.080012,6.179376
10.798293,3.5937462
11.276588,4.955335
11.096609,7.6647716
9.637484,5.210636
10.3364105,5.149172
10.750423,5.775524
11.309213,10.153722
11.131525,5.8208
10.484806,6.4067
10.649925,6.9020786
9.662553,5.6991286
12.431554,7.1533
10.973544,5.4931536
12.291087,5.4030633
10.605813,4.454688
11.445922,4.4616547
12.227015,7.5671616
11.408061,8.5176
12.662792,6.3848786
11.178883,5.050208
11.84662,7.458669
10.482587,5.8476973
12.015285,6.4841914
12.52434,6.466374
11.502869,4.5684686
12.6852255,9.251201
12.408398,4.291299
12.900708,6.993804
10.996699,4.9488287
10.736687,8.481287
11.325874,4.236183
13.679109,4.3602386
11.661732,4.924228
11.627899,5.2052803
11.506107,6.322465
12.0796795,7.618782
12.326547,8.724543
10.989397,4.4407845
11.531651,9.517642
10.9772,6.1638794
10.952398,5.2311144
10.838422,6.8353934
10.248516,5.0679083
10.281085,5.57056
11.718393,8.388126
11.567787,8.096344
11.487918,5.738389
11.628296,6.6256647
10.807251,7.9367366
12.309948,4.5069985
10.75769,7.168851
11.562256,3.7106485
10.463372,5.9656315
10.309268,7.6858907
12.084078,9.106552
11.405394,9.302363
10.211441,9.211727
9.746955,4.816718
11.964188,4.697729
10.817736,5.361558
12.091911,8.537175
11.996247,6.604889
9.886978,4.994878
12.289461,4.2097044
11.243678,7.9498553
12.3839,4.5325236
11.474321,8.041016
12.49543,3.9656365
12.697773,7.158128
11.622871,5.1103506
12.264187,3.9679515
12.902259,7.014184
11.882771,4.0775905
11.870838,8.763502
11.194706,7.8139796
10.221384,4.1215734
10.99194,6.076198
12.66242,6.288351
11.721283,5.819451
10.520464,7.619254
11.888033,5.110596
11.552649,5.150573
10.323956,7.2525263
11.518553,13.487875
10.67413,6.506714
11.365669,6.6062574
10.946377,6.4312634
10.557619,4.421652
11.357485,6.1895447
13.484077,5.942457
11.095911,5.7762575
11.651091,4.29006
11.527294,4.3848615
11.314877,5.441743
11.695241,7.148971
11.17865,3.8569305
10.792278,7.687007
11.088757,9.182471
11.710867,9.259297
11.873825,7.968741
8.826377,4.6875124
10.542607,7.253293
11.097141,6.815487
11.982595,7.5921125
13.100357,3.8843088
12.0029335,4.8523927
11.232349,7.5719333
9.951728,3.8894668
10.986149,6.5714817
12.598223,6.509195
12.159723,6.12468
11.104099,5.72269
11.074273,7.8568883
12.574534,5.3413253
12.183113,6.004741
10.413121,4.8621426
11.365309,6.8674893
11.914359,7.5201707
11.3283615,5.107768
11.140026,4.154539
11.194042,5.6350536
10.654001,6.744719
12.740349,3.8105414
10.557324,6.6591196
9.903733,2.4411087
12.441858,4.5288496
11.291622,4.1420794
10.287284,4.350003
13.205135,5.3740463
10.4652815,5.6947613
11.106103,3.5828552
11.100787,5.24304
12.53867,8.45179
10.384089,5.9229755
12.280745,6.638017
11.72109,9.783109
10.471046,2.4294314
12.281503,7.899703
13.0997505,5.021373
10.462626,6.634019
12.67874,6.0801888
11.501281,5.6293163
11.664353,6.0767746
12.095692,5.30056
9.788057,6.315181
11.343035,6.954408
11.909009,7.634864
13.143602,7.6570196
10.697646,6.069456
11.492539,7.927606
10.415433,7.869783
11.71439,2.9202094
9.932502,5.3256426
12.105131,6.552039
11.041555,4.6648564
10.762849,4.5320616
11.363958,6.143624
11.528915,7.3126698
9.570162,5.714658
12.341688,4.908552
13.661039,4.437918
9.266779,5.985134
11.528528,7.2888083
10.936432,6.947098
11.297716,5.5770664
9.745646,3.9175992
12.02054,7.0925713
13.407825,3.7128441
10.915627,9.620282
11.681564,7.587433
10.997984,4.6337633
9.457106,4.9285665
12.596848,5.008437
10.601799,6.6806545
10.778444,6.528148
10.302313,6.7335854
10.900205,7.346016
9.657555,6.380187
11.650654,4.4133487
10.295714,7.0939875
10.715814,6.757608
12.707016,8.434255
10.382496,7.0604296
10.596941,4.3538604
10.921978,6.4975553
10.844416,5.576194
10.443693,3.6965184
12.873191,6.708352
12.889923,5.924561
12.624057,6.6166406
12.456325,5.2167273
11.421696,4.0505776
10.28025,4.4277844
10.244551,5.740321
11.419193,4.5296497
13.661196,4.9549413
11.4282055,6.1707706
11.599457,6.7714877
12.595862,4.3891225
10.935097,5.620806
11.059827,3.7678044
11.942512,11.094027
11.820297,8.725292
10.739395,7.213688
11.099599,5.7400103
11.405053,6.300171
10.955682,5.5532923
10.084823,7.2677836
11.886548,10.150496
12.716069,4.223373
11.459613,4.840816
9.407332,6.1864023
10.22638,7.2986517
11.150461,7.370754
11.767055,5.846132
12.460834,7.973726
13.472953,3.971702
11.80176,8.68296
12.560958,6.8731976
11.416155,6.8433833
10.177113,8.508074
11.218794,3.1742291
11.07577,5.589078
10.130028,7.6166315
11.476239,5.105303
11.607856,8.57653
12.800799,5.5060534
12.356878,8.937312
11.676212,6.295809
11.222769,4.9669046
9.684087,5.2689047
11.461318,10.258272
12.232899,7.116396
10.950396,10.498223
10.991522,4.982702
11.208514,7.3020926
10.698108,6.011675
10.428652,3.8117294
10.022018,6.8933926
11.463091,7.513572
12.273588,8.144251
10.435974,4.8514085
13.267506,7.3664575
12.236603,4.6260724
12.571333,7.0204873
12.297058,4.0725875
10.482752,5.8505044
10.7629795,5.355612
12.581834,6.3908534
12.188906,6.660547
13.502183,7.4130735
11.304565,5.9967318
13.4766245,3.7413251
10.25815,6.376808
13.573084,5.2429786
11.395477,6.7625093
10.349573,4.9928985
10.041141,8.009842
10.918283,3.5673904
13.084375,5.9139166
10.59418,5.084266
12.019777,10.222332
11.07703,5.715704
11.387085,5.806659
9.7962,6.0792665
10.336136,7.0088897
9.405518,4.927347
10.8326845,8.681204
11.24832,6.3641486
12.117901,7.0357027
10.332157,4.5134664
11.026479,4.6929164
9.247836,4.5193925
9.236117,4.335163
11.12966,6.393947
11.638184,5.0559983
10.504756,4.606716
8.887818,4.233007
12.0106535,8.893735
10.84234,5.2591877
11.67137,8.184891
